id;context;cond;exp;list;position
p6;filler1-c3;filler1-q4;63;list2;1
p6;control1-c1;control1-q5;0;list2;1
p6;c2-2;irr-2;0;list2;1
p6;c1-3;pq1-3;90;list2;1
p6;filler2-c1;filler2-q4;84;list2;1
p6;c3-5;pq3-5;97;list2;1
p6;filler3-c2;filler3-q5;0;list2;1
p6;control3-c3;control3-q5;0;list2;1
p6;c1-4;then-4;93;list2;1
p6;c2-1;pq2-1;100;list2;1
p6;c3-6;pq3-6;100;list2;1
p6;control2-c2;control2-q2;100;list2;1
p7;filler2-c1;filler2-q5;100;list2;1
p7;c1-4;pq1-4;100;list2;1
p7;c3-6;then-6;100;list2;1
p7;control3-c3;control3-q5;0;list2;1
p7;filler1-c3;filler1-q3;100;list2;1
p7;c2-2;irr-2;0;list2;1
p7;control1-c1;control1-q5;0;list2;1
p7;filler3-c2;filler3-q4;78;list2;1
p7;control2-c2;control2-q3;0;list2;1
p7;c3-5;pq3-5;88;list2;1
p7;c2-1;pq1-1;100;list2;1
p7;c1-3;pq3-3;0;list2;1
p8;c1-4;irr-4;0;list2;1
p8;c3-6;irr-6;0;list2;1
p8;control2-c2;control2-q4;99;list2;1
p8;c1-3;irr-3;0;list2;1
p8;c3-5;then-5;100;list2;1
p8;filler3-c2;filler3-q3;48;list2;1
p8;control1-c1;control1-q5;0;list2;1
p8;control3-c3;control3-q5;0;list2;1
p8;filler1-c3;filler1-q5;0;list2;1
p8;filler2-c1;filler2-q2;44;list2;1
p8;c2-2;pq3-2;0;list2;1
p8;c2-1;pq2-1;100;list2;1
p9;filler1-c3;filler1-q3;98;list2;1
p9;c2-1;irr-1;0;list2;1
p9;c3-5;then-5;100;list2;1
p9;c2-2;irr-2;0;list2;1
p9;c1-4;pq1-4;88;list2;1
p9;control1-c1;control1-q1;100;list2;1
p9;filler3-c2;filler3-q1;52;list2;1
p9;control3-c3;control3-q2;32;list2;1
p9;control2-c2;control2-q4;87;list2;1
p9;filler2-c1;filler2-q5;91;list2;1
p9;c1-3;irr-3;0;list2;1
p9;c3-6;pq3-6;100;list2;1
p10;filler2-c1;filler2-q5;100;list2;1
p10;c2-2;irr-2;0;list2;1
p10;filler1-c3;filler1-q3;100;list2;1
p10;c2-1;pq1-1;13;list2;1
p10;c3-6;then-6;100;list2;1
p10;control3-c3;control3-q4;0;list2;1
p10;c1-4;pq1-4;77;list2;1
p10;c1-3;then-3;100;list2;1
p10;filler3-c2;filler3-q5;0;list2;1
p10;c3-5;pq1-5;25;list2;1
p10;control2-c2;control2-q5;36;list2;1
p10;control1-c1;control1-q1;84;list2;1
p11;c1-3;pq3-3;9;list2;1
p11;filler1-c3;filler1-q4;60;list2;1
p11;c2-2;pq2-2;93;list2;1
p11;control1-c1;control1-q1;100;list2;1
p11;control2-c2;control2-q5;10;list2;1
p11;c1-4;then-4;82;list2;1
p11;c3-5;pq3-5;100;list2;1
p11;c2-1;irr-1;0;list2;1
p11;filler3-c2;filler3-q3;100;list2;1
p11;filler2-c1;filler2-q4;100;list2;1
p11;control3-c3;control3-q2;58;list2;1
p11;c3-6;pq1-6;47;list2;1
p6;filler1-c3;filler1-q5;2;list2;2
p6;control1-c1;control1-q1;100;list2;2
p6;c2-2;pq1-2;5;list2;2
p6;c1-3;then-3;96;list2;2
p6;filler2-c1;filler2-q5;100;list2;2
p6;c3-5;pq1-5;72;list2;2
p6;filler3-c2;filler3-q1;89;list2;2
p6;control3-c3;control3-q4;0;list2;2
p6;c1-4;pq3-4;78;list2;2
p6;c2-1;pq1-1;71;list2;2
p6;c3-6;then-6;96;list2;2
p6;control2-c2;control2-q3;0;list2;2
p7;filler2-c1;filler2-q1;100;list2;2
p7;c1-4;then-4;100;list2;2
p7;c3-6;irr-6;0;list2;2
p7;control3-c3;control3-q4;0;list2;2
p7;filler1-c3;filler1-q4;100;list2;2
p7;c2-2;pq1-2;85;list2;2
p7;control1-c1;control1-q4;0;list2;2
p7;filler3-c2;filler3-q3;79;list2;2
p7;control2-c2;control2-q2;100;list2;2
p7;c3-5;pq1-5;78;list2;2
p7;c2-1;then-1;100;list2;2
p7;c1-3;then-3;100;list2;2
p8;c1-4;pq3-4;73;list2;2
p8;c3-6;then-6;100;list2;2
p8;control2-c2;control2-q5;0;list2;2
p8;c1-3;pq3-3;0;list2;2
p8;c3-5;pq2-5;100;list2;2
p8;filler3-c2;filler3-q2;82;list2;2
p8;control1-c1;control1-q4;0;list2;2
p8;control3-c3;control3-q3;51;list2;2
p8;filler1-c3;filler1-q4;100;list2;2
p8;filler2-c1;filler2-q5;100;list2;2
p8;c2-2;pq1-2;0;list2;2
p8;c2-1;then-1;100;list2;2
p9;filler1-c3;filler1-q2;48;list2;2
p9;c2-1;pq1-1;64;list2;2
p9;c3-5;irr-5;0;list2;2
p9;c2-2;pq2-2;80;list2;2
p9;c1-4;pq2-4;7;list2;2
p9;control1-c1;control1-q2;100;list2;2
p9;filler3-c2;filler3-q2;76;list2;2
p9;control3-c3;control3-q4;0;list2;2
p9;control2-c2;control2-q2;97;list2;2
p9;filler2-c1;filler2-q2;57;list2;2
p9;c1-3;pq1-3;100;list2;2
p9;c3-6;pq1-6;37;list2;2
p10;filler2-c1;filler2-q3;53;list2;2
p10;c2-2;then-2;100;list2;2
p10;filler1-c3;filler1-q2;100;list2;2
p10;c2-1;then-1;100;list2;2
p10;c3-6;irr-6;0;list2;2
p10;control3-c3;control3-q5;0;list2;2
p10;c1-4;then-4;100;list2;2
p10;c1-3;pq2-3;14;list2;2
p10;filler3-c2;filler3-q2;83;list2;2
p10;c3-5;irr-5;0;list2;2
p10;control2-c2;control2-q3;0;list2;2
p10;control1-c1;control1-q4;4;list2;2
p11;c1-3;pq1-3;74;list2;2
p11;filler1-c3;filler1-q2;24;list2;2
p11;c2-2;pq3-2;33;list2;2
p11;control1-c1;control1-q2;32;list2;2
p11;control2-c2;control2-q4;70;list2;2
p11;c1-4;pq3-4;69;list2;2
p11;c3-5;irr-5;0;list2;2
p11;c2-1;pq1-1;89;list2;2
p11;filler3-c2;filler3-q5;0;list2;2
p11;filler2-c1;filler2-q5;100;list2;2
p11;control3-c3;control3-q4;0;list2;2
p11;c3-6;pq2-6;100;list2;2
p6;filler1-c3;filler1-q1;35;list2;3
p6;control1-c1;control1-q2;2;list2;3
p6;c2-2;pq3-2;12;list2;3
p6;c1-3;irr-3;0;list2;3
p6;filler2-c1;filler2-q2;0;list2;3
p6;c3-5;pq2-5;100;list2;3
p6;filler3-c2;filler3-q3;95;list2;3
p6;control3-c3;control3-q1;100;list2;3
p6;c1-4;pq2-4;78;list2;3
p6;c2-1;pq3-1;55;list2;3
p6;c3-6;pq1-6;54;list2;3
p6;control2-c2;control2-q5;0;list2;3
p7;filler2-c1;filler2-q2;0;list2;3
p7;c1-4;pq2-4;37;list2;3
p7;c3-6;pq1-6;32;list2;3
p7;control3-c3;control3-q1;85;list2;3
p7;filler1-c3;filler1-q2;73;list2;3
p7;c2-2;then-2;90;list2;3
p7;control1-c1;control1-q2;77;list2;3
p7;filler3-c2;filler3-q5;0;list2;3
p7;control2-c2;control2-q4;51;list2;3
p7;c3-5;pq2-5;75;list2;3
p7;c2-1;pq3-1;13;list2;3
p7;c1-3;pq2-3;37;list2;3
p8;c1-4;then-4;89;list2;3
p8;c3-6;pq3-6;98;list2;3
p8;control2-c2;control2-q3;62;list2;3
p8;c1-3;pq2-3;0;list2;3
p8;c3-5;pq1-5;53;list2;3
p8;filler3-c2;filler3-q5;39;list2;3
p8;control1-c1;control1-q3;80;list2;3
p8;control3-c3;control3-q2;20;list2;3
p8;filler1-c3;filler1-q1;0;list2;3
p8;filler2-c1;filler2-q3;2;list2;3
p8;c2-2;irr-2;0;list2;3
p8;c2-1;irr-1;0;list2;3
p9;filler1-c3;filler1-q5;18;list2;3
p9;c2-1;pq2-1;100;list2;3
p9;c3-5;pq3-5;100;list2;3
p9;c2-2;then-2;100;list2;3
p9;c1-4;irr-4;0;list2;3
p9;control1-c1;control1-q3;100;list2;3
p9;filler3-c2;filler3-q4;28;list2;3
p9;control3-c3;control3-q3;33;list2;3
p9;control2-c2;control2-q3;6;list2;3
p9;filler2-c1;filler2-q3;57;list2;3
p9;c1-3;pq2-3;94;list2;3
p9;c3-6;irr-6;0;list2;3
p10;filler2-c1;filler2-q2;0;list2;3
p10;c2-2;pq2-2;100;list2;3
p10;filler1-c3;filler1-q4;100;list2;3
p10;c2-1;pq2-1;100;list2;3
p10;c3-6;pq1-6;25;list2;3
p10;control3-c3;control3-q1;100;list2;3
p10;c1-4;pq2-4;0;list2;3
p10;c1-3;pq1-3;100;list2;3
p10;filler3-c2;filler3-q1;80;list2;3
p10;c3-5;pq2-5;8;list2;3
p10;control2-c2;control2-q2;100;list2;3
p10;control1-c1;control1-q2;75;list2;3
p11;c1-3;pq2-3;58;list2;3
p11;filler1-c3;filler1-q5;15;list2;3
p11;c2-2;then-2;91;list2;3
p11;control1-c1;control1-q4;0;list2;3
p11;control2-c2;control2-q2;100;list2;3
p11;c1-4;pq2-4;51;list2;3
p11;c3-5;then-5;64;list2;3
p11;c2-1;pq2-1;98;list2;3
p11;filler3-c2;filler3-q2;53;list2;3
p11;filler2-c1;filler2-q3;23;list2;3
p11;control3-c3;control3-q5;0;list2;3
p11;c3-6;irr-6;0;list2;3
p6;filler1-c3;filler1-q3;96;list2;4
p6;control1-c1;control1-q3;50;list2;4
p6;c2-2;then-2;100;list2;4
p6;c1-3;pq2-3;0;list2;4
p6;filler2-c1;filler2-q1;94;list2;4
p6;c3-5;then-5;99;list2;4
p6;filler3-c2;filler3-q4;96;list2;4
p6;control3-c3;control3-q2;65;list2;4
p6;c1-4;pq1-4;49;list2;4
p6;c2-1;then-1;100;list2;4
p6;c3-6;pq2-6;94;list2;4
p6;control2-c2;control2-q1;72;list2;4
p7;filler2-c1;filler2-q4;100;list2;4
p7;c1-4;pq3-4;23;list2;4
p7;c3-6;pq3-6;100;list2;4
p7;control3-c3;control3-q2;85;list2;4
p7;filler1-c3;filler1-q5;21;list2;4
p7;c2-2;pq3-2;21;list2;4
p7;control1-c1;control1-q3;78;list2;4
p7;filler3-c2;filler3-q1;74;list2;4
p7;control2-c2;control2-q1;0;list2;4
p7;c3-5;then-5;83;list2;4
p7;c2-1;irr-1;0;list2;4
p7;c1-3;pq1-3;72;list2;4
p8;c1-4;pq1-4;54;list2;4
p8;c3-6;pq2-6;100;list2;4
p8;control2-c2;control2-q2;39;list2;4
p8;c1-3;then-3;100;list2;4
p8;c3-5;pq3-5;100;list2;4
p8;filler3-c2;filler3-q1;56;list2;4
p8;control1-c1;control1-q1;99;list2;4
p8;control3-c3;control3-q1;100;list2;4
p8;filler1-c3;filler1-q3;100;list2;4
p8;filler2-c1;filler2-q4;100;list2;4
p8;c2-2;then-2;100;list2;4
p8;c2-1;pq1-1;64;list2;4
p9;filler1-c3;filler1-q4;77;list2;4
p9;c2-1;pq3-1;5;list2;4
p9;c3-5;pq1-5;48;list2;4
p9;c2-2;pq3-2;68;list2;4
p9;c1-4;pq3-4;6;list2;4
p9;control1-c1;control1-q4;0;list2;4
p9;filler3-c2;filler3-q3;100;list2;4
p9;control3-c3;control3-q5;0;list2;4
p9;control2-c2;control2-q1;5;list2;4
p9;filler2-c1;filler2-q1;100;list2;4
p9;c1-3;then-3;100;list2;4
p9;c3-6;pq2-6;100;list2;4
p10;filler2-c1;filler2-q1;100;list2;4
p10;c2-2;pq3-2;0;list2;4
p10;filler1-c3;filler1-q5;0;list2;4
p10;c2-1;pq3-1;0;list2;4
p10;c3-6;pq3-6;100;list2;4
p10;control3-c3;control3-q3;60;list2;4
p10;c1-4;pq3-4;0;list2;4
p10;c1-3;pq3-3;0;list2;4
p10;filler3-c2;filler3-q4;79;list2;4
p10;c3-5;then-5;100;list2;4
p10;control2-c2;control2-q4;56;list2;4
p10;control1-c1;control1-q5;18;list2;4
p11;c1-3;then-3;76;list2;4
p11;filler1-c3;filler1-q1;3;list2;4
p11;c2-2;irr-2;0;list2;4
p11;control1-c1;control1-q5;0;list2;4
p11;control2-c2;control2-q3;80;list2;4
p11;c1-4;irr-4;0;list2;4
p11;c3-5;pq2-5;55;list2;4
p11;c2-1;then-1;100;list2;4
p11;filler3-c2;filler3-q1;31;list2;4
p11;filler2-c1;filler2-q2;48;list2;4
p11;control3-c3;control3-q1;100;list2;4
p11;c3-6;pq3-6;100;list2;4
p6;filler1-c3;filler1-q2;71;list2;5
p6;control1-c1;control1-q4;0;list2;5
p6;c2-2;pq2-2;100;list2;5
p6;c1-3;pq3-3;0;list2;5
p6;filler2-c1;filler2-q3;4;list2;5
p6;c3-5;irr-5;0;list2;5
p6;filler3-c2;filler3-q2;80;list2;5
p6;control3-c3;control3-q3;66;list2;5
p6;c1-4;irr-4;0;list2;5
p6;c2-1;irr-1;0;list2;5
p6;c3-6;irr-6;0;list2;5
p6;control2-c2;control2-q4;0;list2;5
p7;filler2-c1;filler2-q3;0;list2;5
p7;c1-4;irr-4;0;list2;5
p7;c3-6;pq2-6;100;list2;5
p7;control3-c3;control3-q3;81;list2;5
p7;filler1-c3;filler1-q1;12;list2;5
p7;c2-2;pq2-2;100;list2;5
p7;control1-c1;control1-q1;100;list2;5
p7;filler3-c2;filler3-q2;19;list2;5
p7;control2-c2;control2-q5;0;list2;5
p7;c3-5;irr-5;0;list2;5
p7;c2-1;pq2-1;100;list2;5
p7;c1-3;irr-3;0;list2;5
p8;c1-4;pq2-4;73;list2;5
